,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total mel,Total def
0,1,0,6,6,0,0,0,0,0,0,0,0,,12.0
0,2,2,10,0,0,0,0,0,0,0,0,0,,12.0
0,3,4,7,1,0,0,0,0,0,0,0,0,,12.0
0,4,3,7,2,0,0,0,0,0,0,0,0,,12.0
0,5,4,7,1,0,0,0,0,0,0,0,0,,12.0
0,6,3,8,1,0,0,0,0,0,0,0,0,,12.0
0,7,5,5,2,0,0,0,0,0,0,0,0,,12.0
0,8,7,3,2,0,0,0,0,0,0,0,0,,12.0
0,9,2,8,2,0,0,0,0,0,0,0,0,,12.0
0,10,4,4,4,0,0,0,0,0,0,0,0,,12.0
0,11,7,2,2,1,0,0,0,0,0,0,0,,12.0
0,12,3,7,2,0,0,0,0,0,0,0,0,,12.0
0,13,5,3,3,1,0,0,0,0,0,0,0,,12.0
0,14,5,2,3,2,0,0,0,0,0,0,0,,12.0
0,15,4,3,2,3,0,0,0,0,0,0,0,,12.0
0,16,3,4,2,2,0,1,0,0,0,0,0,,12.0
0,17,3,1,3,2,2,1,0,0,0,0,0,,12.0
0,18,2,2,3,2,1,2,0,0,0,0,0,,12.0
0,19,1,3,1,0,3,3,1,0,0,0,0,,12.0
0,20,1,2,2,1,0,4,2,0,0,0,0,,12.0
0,21,2,1,3,0,1,3,1,1,0,0,0,,12.0
0,22,4,1,1,1,3,1,0,1,0,0,0,,12.0
0,23,1,3,1,4,1,0,0,1,0,1,0,,12.0
0,24,2,1,1,4,1,0,2,0,0,0,1,,12.0
0,25,2,2,1,0,1,0,1,2,1,2,0,,12.0
0,26,3,0,1,1,1,0,0,1,4,1,0,,12.0
0,27,2,1,1,1,1,0,2,1,0,1,2,,12.0
0,28,1,0,3,0,1,1,2,2,0,2,0,,12.0
0,29,2,0,1,1,1,0,0,1,4,2,0,,12.0
0,30,3,1,2,0,0,0,1,1,2,1,1,,12.0
0,31,1,3,0,1,1,0,0,2,1,2,1,,12.0
0,32,1,1,3,0,0,0,0,1,1,3,2,,12.0
0,33,1,2,1,1,1,0,0,0,1,3,2,,12.0
0,34,2,2,0,0,1,0,3,0,1,1,2,,12.0
0,35,4,0,0,1,1,1,1,0,1,2,1,,12.0
0,36,3,1,1,3,0,0,0,0,3,1,0,,12.0
0,37,2,1,0,2,2,0,1,1,0,0,3,,12.0
0,38,3,0,1,0,1,2,1,2,0,0,2,,12.0
0,39,2,1,1,1,0,0,0,0,2,1,4,,12.0
0,40,1,1,1,0,0,1,0,0,0,2,6,,12.0
0,41,1,1,1,0,1,1,1,0,2,1,3,,12.0
0,42,1,1,0,0,0,1,2,1,0,1,5,,12.0
0,43,0,0,3,0,2,0,2,0,0,0,5,,12.0
0,44,1,2,0,1,0,0,0,2,0,2,4,,12.0
0,45,1,0,2,1,1,1,1,0,0,0,5,,12.0
0,46,1,1,2,0,0,0,1,0,4,1,2,,12.0
0,47,2,0,0,1,0,0,0,3,1,1,4,,12.0
0,48,2,2,0,0,0,1,0,0,2,3,2,,12.0
0,49,1,1,1,0,0,0,0,0,1,3,5,,12.0
0,50,1,1,1,1,0,0,0,0,3,0,5,,12.0
